name,season,age,pos,USG%,TS%,3PAr,AST%,TOV%,BPM,WS48,reg_BPM,playoff_BPM,playoff_MP,bpm_delta,split
Mikal Bridges,2022,25,SF,15.0,0.627,0.364,8.7,6.8,1.6,0.15,1.6,1.4,500.0,-0.20000000000000018,train
DeMar DeRozan,2022,32,PF,31.8,0.59,0.093,23.3,9.2,2.5,0.154,2.5,-0.8,203.0,-3.3,train
Tyrese Maxey,2022,21,PG,20.2,0.594,0.311,19.1,7.4,0.6,0.132,0.6,2.1,485.0,1.5,train
Dorian Finney-Smith,2022,28,PF,13.8,0.604,0.629,8.2,9.9,0.8,0.121,0.8,1.0,688.0,0.19999999999999996,train
Tobias Harris,2022,29,PF,21.7,0.566,0.269,15.9,9.5,0.0,0.105,0.0,3.0,466.0,3.0,train
Jalen Brunson,2022,25,SG,21.9,0.583,0.25,24.3,10.1,0.9,0.143,0.9,1.5,629.0,0.6,train
Nikola Jokić,2022,26,C,31.9,0.661,0.22,42.6,15.6,13.7,0.296,13.7,10.7,171.0,-3.0,train
James Harden,2022,32,PG,27.2,0.583,0.452,40.3,18.8,4.0,0.152,4.0,1.9,479.0,-2.1,train
Aaron Gordon,2022,26,PF,19.7,0.602,0.312,11.6,12.5,-0.6,0.105,-0.6,-1.3,160.0,-0.7000000000000001,train
Devin Booker,2022,25,SG,32.0,0.576,0.336,22.4,9.3,4.1,0.156,4.1,1.9,366.0,-2.1999999999999997,train
Herbert Jones,2022,23,PF,13.7,0.573,0.293,10.0,13.4,-0.5,0.096,-0.5,0.4,226.0,0.9,train
Luka Dončić,2022,22,PG,37.4,0.571,0.406,46.0,15.3,8.2,0.159,8.2,9.3,552.0,1.1000000000000014,train
Joel Embiid,2022,27,C,37.2,0.616,0.188,23.5,11.3,9.2,0.252,9.2,0.1,385.0,-9.1,train
Desmond Bane,2022,23,SG,23.1,0.592,0.475,13.5,8.7,2.7,0.153,2.7,3.5,428.0,0.7999999999999998,train
Jaylen Brown,2022,25,SF,30.5,0.574,0.381,17.9,11.6,2.1,0.124,2.1,2.6,920.0,0.5,train
Stephen Curry,2022,33,PG,30.8,0.601,0.613,30.4,13.2,5.8,0.173,5.8,7.7,764.0,1.9000000000000004,train
Jrue Holiday,2022,31,PG,23.5,0.593,0.336,31.8,15.0,3.2,0.15,3.2,1.6,463.0,-1.6,train
Giannis Antetokounmpo,2022,27,PF,34.9,0.633,0.194,31.7,12.2,11.2,0.281,11.2,10.4,448.0,-0.7999999999999989,train
Jordan Clarkson,2022,29,SG,26.8,0.532,0.536,14.5,9.8,-0.6,0.079,-0.6,4.3,170.0,4.8999999999999995,train
Kyle Lowry,2022,35,PG,18.2,0.6,0.609,32.3,19.3,2.0,0.143,2.0,-2.7,295.0,-4.7,train
Jaren Jackson Jr.,2022,22,PF,25.4,0.535,0.387,5.8,9.9,-0.1,0.121,-0.1,0.7,332.0,0.7999999999999999,train
Rudy Gobert,2022,29,C,16.9,0.732,0.008,5.1,14.5,4.6,0.264,4.6,2.3,197.0,-2.3,train
Mike Conley,2022,34,PG,20.9,0.572,0.523,27.7,12.5,3.1,0.157,3.1,-3.9,174.0,-7.0,train
Kevin Durant,2022,33,PF,31.2,0.634,0.269,29.1,12.9,7.2,0.198,7.2,-2.9,176.0,-10.1,train
Al Horford,2022,35,C,14.8,0.574,0.466,16.4,9.6,4.3,0.181,4.3,6.0,815.0,1.7000000000000002,train
Spencer Dinwiddie,2022,28,PG,21.4,0.543,0.449,25.7,10.9,0.3,0.098,0.3,1.3,501.0,1.0,train
Jimmy Butler,2022,32,SF,26.5,0.592,0.14,26.4,10.5,6.3,0.228,6.3,11.8,629.0,5.500000000000001,train
Reggie Bullock,2022,30,SF,13.3,0.558,0.782,6.1,7.1,-1.4,0.08,-1.4,0.4,707.0,1.7999999999999998,train
Brandon Ingram,2022,24,SF,29.3,0.554,0.23,27.8,11.8,2.0,0.099,2.0,3.9,236.0,1.9,train
Bam Adebayo,2022,24,C,25.0,0.608,0.008,17.5,14.4,3.8,0.188,3.8,2.9,614.0,-0.8999999999999999,train
Grayson Allen,2022,26,SG,15.2,0.609,0.684,7.6,6.7,0.4,0.11,0.4,0.2,305.0,-0.2,train
Kevon Looney,2022,25,C,12.2,0.586,0.003,13.2,13.8,0.9,0.187,0.9,3.1,448.0,2.2,train
OG Anunoby,2022,24,SF,20.5,0.549,0.455,11.0,9.7,0.5,0.104,0.5,0.8,217.0,0.30000000000000004,train
Deandre Ayton,2022,23,C,21.4,0.656,0.027,7.6,10.7,2.8,0.203,2.8,3.6,397.0,0.8000000000000003,train
Mikal Bridges,2023,26,SG,22.6,0.587,0.349,13.7,8.2,1.7,0.121,1.7,1.4,157.0,-0.30000000000000004,test
Anthony Edwards,2023,21,SG,29.9,0.564,0.375,19.3,13.0,1.0,0.064,1.0,10.4,199.0,9.4,test
Harrison Barnes,2023,30,PF,17.1,0.632,0.446,6.3,8.1,-1.0,0.118,-1.0,0.0,196.0,1.0,test
Bam Adebayo,2023,25,C,25.2,0.592,0.011,15.9,12.7,1.5,0.137,1.5,-0.7,850.0,-2.2,test
RJ Barrett,2023,22,SG,26.2,0.531,0.332,12.4,10.8,-3.1,0.043,-3.1,1.3,377.0,4.4,test
Josh Hart,2023,27,SF,12.6,0.622,0.315,16.1,16.4,0.9,0.118,0.9,-0.9,353.0,-1.8,test
Darius Garland,2023,23,PG,26.9,0.587,0.365,34.1,13.5,2.4,0.148,2.4,1.2,189.0,-1.2,test
Tobias Harris,2023,30,SF,18.2,0.602,0.383,11.4,9.0,0.7,0.116,0.7,1.4,392.0,0.7,test
De'Aaron Fox,2023,25,PG,30.1,0.599,0.276,29.6,10.6,2.5,0.146,2.5,5.0,270.0,2.5,test
Jaylen Brown,2023,26,SF,31.4,0.581,0.352,16.5,11.4,1.3,0.1,1.3,-0.9,751.0,-2.2,test
Kentavious Caldwell-Pope,2023,29,SG,14.1,0.598,0.505,9.8,11.1,-1.0,0.091,-1.0,-0.1,671.0,0.9,test
Jalen Brunson,2023,26,PG,27.2,0.597,0.269,28.7,9.4,3.9,0.175,3.9,7.6,443.0,3.6999999999999997,test
Nikola Jokić,2023,27,C,27.2,0.701,0.146,46.6,17.0,13.0,0.308,13.0,12.8,789.0,-0.1999999999999993,test
Draymond Green,2023,32,PF,13.2,0.592,0.276,27.8,28.1,0.8,0.098,0.8,2.8,367.0,1.9999999999999998,test
Joel Embiid,2023,28,C,37.0,0.655,0.151,22.9,11.9,9.2,0.259,9.2,1.9,336.0,-7.299999999999999,test
Bruce Brown,2023,26,SF,17.8,0.571,0.343,15.7,13.2,-0.5,0.09,-0.5,1.1,530.0,1.6,test
Nic Claxton,2023,23,C,15.4,0.691,0.003,9.3,12.1,3.1,0.195,3.1,3.5,117.0,0.3999999999999999,test
Caris LeVert,2023,28,SG,18.7,0.546,0.437,18.0,12.4,-0.2,0.095,-0.2,2.1,170.0,2.3000000000000003,test
Jarrett Allen,2023,24,C,16.4,0.67,0.016,7.5,11.4,2.4,0.205,2.4,2.4,191.0,0.0,test
Jrue Holiday,2023,32,PG,25.0,0.586,0.402,34.4,15.2,3.1,0.148,3.1,-1.4,191.0,-4.5,test
Rudy Gobert,2023,30,C,16.3,0.675,0.005,5.6,14.9,0.7,0.174,0.7,0.3,177.0,-0.39999999999999997,test
Jimmy Butler,2023,33,PF,25.6,0.647,0.116,27.1,8.2,8.7,0.277,8.7,6.6,874.0,-2.0999999999999996,test
James Harden,2023,33,PG,25.0,0.607,0.496,43.3,16.3,5.4,0.188,5.4,4.1,427.0,-1.3000000000000007,test
John Collins,2023,25,PF,17.1,0.593,0.339,5.3,9.1,-1.3,0.095,-1.3,-3.5,164.0,-2.2,test
Caleb Martin,2023,27,SF,14.4,0.571,0.431,8.2,11.5,-1.2,0.086,-1.2,2.3,694.0,3.5,test
Aaron Gordon,2023,27,PF,21.1,0.617,0.227,14.2,9.8,2.1,0.158,2.1,-0.2,713.0,-2.3000000000000003,test
Deandre Ayton,2023,24,C,22.9,0.617,0.027,9.2,11.0,0.9,0.147,0.9,-3.5,319.0,-4.4,test
Mike Conley,2023,35,PG,16.3,0.583,0.575,29.4,13.1,0.9,0.13,0.9,0.6,183.0,-0.30000000000000004,test
Giannis Antetokounmpo,2023,28,PF,38.8,0.605,0.134,33.2,13.2,8.5,0.204,8.5,2.0,91.0,-6.5,test
Tyrese Maxey,2023,22,SG,24.1,0.605,0.404,16.9,7.4,0.6,0.128,0.6,2.2,423.0,1.6,test
Grayson Allen,2023,27,SG,14.6,0.612,0.657,10.9,10.5,0.1,0.123,0.1,-1.1,149.0,-1.2000000000000002,test
Kevon Looney,2023,26,C,10.6,0.639,0.003,13.8,9.1,2.1,0.212,2.1,3.1,325.0,1.0,test
LeBron James,2023,38,PF,33.3,0.583,0.309,33.5,11.6,6.1,0.138,6.1,7.6,619.0,1.5,test
Stephen Curry,2023,34,PG,31.0,0.656,0.564,30.0,12.5,7.5,0.192,7.5,6.5,493.0,-1.0,test
Al Horford,2023,36,C,11.9,0.631,0.678,13.2,7.0,3.3,0.157,3.3,2.8,617.0,-0.5,test
Anthony Davis,2023,29,C,28.4,0.627,0.077,13.0,9.5,6.3,0.226,6.3,5.7,608.0,-0.5999999999999996,test
Donte DiVincenzo,2023,26,SG,15.1,0.593,0.7,17.3,16.4,0.7,0.106,0.7,0.1,235.0,-0.6,test
Desmond Bane,2023,24,SG,26.1,0.606,0.433,20.8,10.9,3.5,0.151,3.5,0.8,231.0,-2.7,test
Devin Booker,2023,26,SG,31.8,0.601,0.296,27.3,10.6,4.2,0.157,4.2,10.7,459.0,6.499999999999999,test
Jaren Jackson Jr.,2023,23,C,24.7,0.613,0.343,5.0,10.1,2.8,0.177,2.8,-0.1,220.0,-2.9,test
Kawhi Leonard,2023,31,SF,27.0,0.623,0.287,19.6,8.1,6.1,0.194,6.1,13.8,80.0,7.700000000000001,test
Malcolm Brogdon,2023,30,PG,22.8,0.615,0.406,21.5,10.8,2.8,0.161,2.8,-1.6,474.0,-4.4,test
Clint Capela,2023,28,C,15.7,0.656,0.002,4.7,8.3,2.2,0.201,2.2,-0.2,151.0,-2.4000000000000004,test
Kyle Lowry,2023,36,PG,16.7,0.565,0.639,23.4,15.9,0.2,0.096,0.2,1.8,599.0,1.6,test
Nicolas Batum,2023,34,PF,11.5,0.594,0.832,9.4,11.1,0.5,0.101,0.5,-0.4,92.0,-0.9,test
Santi Aldama,2023,22,PF,16.0,0.591,0.507,7.6,9.3,0.5,0.13,0.5,4.0,101.0,3.5,test
Kevin Durant,2023,34,PF,30.7,0.677,0.267,24.5,13.4,7.1,0.194,7.1,4.6,466.0,-2.5,test
Isaiah Hartenstein,2023,24,C,11.2,0.567,0.113,8.3,15.6,-0.3,0.136,-0.3,2.5,220.0,2.8,test
